Section,Col1,Col2,Col3,Col4,Col5,Col6
Meta,vehicleName,DMU CD 810
Meta,maxSpeedKmh,80
Meta,massTonnes,27.3
Meta,lengthM,14
Meta,brakeDecelMs2,1.0
Meta,maxTractiveForceKN,29.0
Param,DMU CD 810,1.04,27.3,14
Res,DMU CD 810,1.86,0,0.00161
Trac,DMU CD 810,0,7.211,29,-0.532242407,0
Trac,DMU CD 810,7.211,17.008,28.36378116,-0.444013474,0
Trac,DMU CD 810,17.008,26.26,32.88598876,-0.709900562,0
Trac,DMU CD 810,26.26,35.353,30.00924139,-0.600351919,0
Trac,DMU CD 810,35.353,50.2,12.84724948,-0.114905368,0
Trac,DMU CD 810,50.2,60.2,11.36106,-0.0853,0
Trac,DMU CD 810,60.2,80,6.226,0,0
