Section,Col1,Col2,Col3,Col4,Col5,Col6
Meta,vehicleName,DMU BR 650 (CD 840)
Meta,maxSpeedKmh,120
Meta,massTonnes,48.5
Meta,lengthM,25.5
Meta,brakeDecelMs2,1.0
Meta,maxTractiveForceKN,68.0
Param,DMU BR 650 (CD 840),1.04,48.5,25.5
Res,DMU BR 650 (CD 840),1.631,0,0.000601
Trac,DMU BR 650 (CD 840),0,21.3,68,0,0
Trac,DMU BR 650 (CD 840),21.3,37.8,111.8909091,-2.060606061,0
Trac,DMU BR 650 (CD 840),37.8,52.5,34,0,0
Trac,DMU BR 650 (CD 840),52.5,60,69.28,-0.672,0
Trac,DMU BR 650 (CD 840),60,62.4,131.06,-1.701666667,0
Trac,DMU BR 650 (CD 840),62.4,70.2,24.876,0,0
Trac,DMU BR 650 (CD 840),70.2,82.8,47.00014286,-0.31515873,0
Trac,DMU BR 650 (CD 840),82.8,85.2,109.5355,-1.070416667,0
Trac,DMU BR 650 (CD 840),85.2,97.5,18.336,0,0
Trac,DMU BR 650 (CD 840),97.5,120,38.07433333,-0.202444444,0
